speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
53,2,4,223.8742656,0.667976582,1.284493258,0.108614548,576.7586558,0.631545054,2.846171469,1.600485675,1740.43612,0.215224975,1.818082903,1.189102425,2828.461246,0.147104149,2.502789194,1.071174551
54,1,1,196.9015714,1.651383836,-0.240716051,1.1706545,576.6092924,0.611434051,5.452859963,2.078985961,1752.139446,0.266740641,0.391295283,0.479201287,2946.791257,0.123603352,2.617933073,0.897968892
54,1,2,198.4641327,0.836756753,0.631189641,0.401957794,624.8012618,0.63646392,3.175458233,1.68077676,1786.454738,0.273623952,1.171459911,0.780342799,2998.767801,0.128563582,3.129888466,1.072878078
54,1,3,181.1653886,0.827165319,0.908212166,0.345413527,608.0506654,0.625285882,4.427288803,2.02545472,1782.391028,0.268814491,0.205449544,0.541069789,2949.570725,0.119586086,2.835750155,1.125813296
54,1,4,221.6829426,0.736387213,1.567180673,0.673989094,604.8656744,0.525445201,3.854362381,1.603731283,1628.708461,0.262123928,1.67170717,1.17427435,2938.485235,0.140466926,1.046007739,0.278028594
54,2,1,206.9662407,0.837421454,-1.176004267,-0.125767059,589.3597219,0.628089135,4.515746071,1.994951785,1752.918139,0.275616765,0.229452581,0.488584502,2929.627367,0.132599655,1.835134651,0.8416537
54,2,2,207.1631978,0.878249174,-0.512617765,0.167049415,661.3611533,0.567602438,2.435695644,1.468717517,1807.161142,0.257747296,0.844783136,0.702314461,3012.833867,0.129912408,3.249780669,0.918426705
54,2,3,198.0203694,0.770556624,-0.263700434,-0.008556035,634.2475322,0.595847936,3.356310723,1.728885264,1763.613589,0.266250496,0.512335363,0.654604715,2965.881866,0.130191188,2.417570052,0.997870772
54,2,4,213.576647,0.628259159,1.377563918,0.163598108,613.9349755,0.567315298,1.449103923,1.196057342,1674.12656,0.266614085,0.574999972,1.096177721,2983.722974,0.142636167,0.810291606,0.325590235
55,1,1,110.2599691,1.312926552,18.93923018,2.827622935,594.7138714,0.550647971,7.967738032,2.692737784,1610.586026,0.281743944,0.817884372,0.712375503,2637.766573,0.184163384,1.173131779,1.311892419
