file;speaker;session;task;pitch_mean;pitch_std;pitch_kurt;pitch_skew;formant_1_mean;formant_1_std;formant_1_kurt;formant_1_skew;formantbw_1_mean;formantbw_1_std;formantbw_1_kurt;formantbw_1_skew;formant_2_mean;formant_2_std;formant_2_kurt;formant_2_skew;formantbw_2_mean;formantbw_2_std;formantbw_2_kurt;formantbw_2_skew;formant_3_mean;formant_3_std;formant_3_kurt;formant_3_skew;formantbw_3_mean;formantbw_3_std;formantbw_3_kurt;formantbw_3_skew;art_tempo;sil_dur;pviv;npviv;pvic;npvic;pvi;npvi
015_sess1_task4.wav;015;1;4;137.92140485624088;1.6435553687824693;14.024648822829889;3.1484914944394453;610.074890675433;0.5006581858510397;4.486816696123121;2.0989923021046004;610.074890675433;0.5006581858510397;4.486816696123121;2.0989923021046004;1605.7287285790678;0.3097061313652807;0.6333475524306249;1.0263455674714408;1605.7287285790678;0.3097061313652807;0.6333475524306249;1.0263455674714408;2762.2627007417605;0.16363927063447373;1.816146181365152;1.2632091575157303;2762.2627007417605;0.16363927063447373;1.816146181365152;1.2632091575157303;0.06317460317460316;0.2750000000000005;0.03400000000000007;53.524882873118365;0.0531250000000002;50.509920613442816;0.04494680851063856;51.87614532594234
015_sess2_task1.wav;015;2;1;119.98227664461756;1.059266560916156;8.444688710190702;1.4531134697457233;619.9999847012734;0.6759492557740212;4.294413758401646;2.140550968792557;619.9999847012734;0.6759492557740212;4.294413758401646;2.140550968792557;1716.655655430743;0.31218310896699614;-0.21213260963823632;0.4809102655272267;1716.655655430743;0.31218310896699614;-0.21213260963823632;0.4809102655272267;2851.6825527645133;0.1565639311630505;1.421497587068557;1.2432809717763522;2851.6825527645133;0.1565639311630505;1.421497587068557;1.2432809717763522;0.06169845594913583;0.22124031007752043;0.031010248901905676;45.64957346245576;0.039064599483208104;53.14267821959648;0.036417322834650885;51.043952757723616
015_sess2_task2.wav;015;2;2;118.47046723135013;1.1852507758261945;11.509724825682147;2.052240923271846;646.6606363450159;0.6722509430001846;2.5509814567434423;1.79061727909411;646.6606363450159;0.6722509430001846;2.5509814567434423;1.79061727909411;1788.2848559737265;0.3101313859433477;-0.41817367774460434;0.3147247679710113;1788.2848559737265;0.3101313859433477;-0.41817367774460434;0.3147247679710113;2917.9451413826955;0.15940132791018027;0.991345258716902;1.1150247911458715;2917.9451413826955;0.15940132791018027;0.991345258716902;1.1150247911458715;0.06855658829961646;0.22325806451612906;0.03623359580052559;48.15372262483335;0.04506103286385331;56.81990902705215;0.04097921225383167;53.29988461338982
015_sess2_task3.wav;015;2;3;123.23595081329738;1.1884295276593366;10.634963046098614;2.0190002511601826;661.0843406447484;0.6742418215254794;3.253674509339344;2.006463292843723;661.0843406447484;0.6742418215254794;3.253674509339344;2.006463292843723;1729.085265624575;0.31208847466727724;-0.19817732933255616;0.4834368376886773;1729.085265624575;0.31208847466727724;-0.19817732933255616;0.4834368376886773;2843.438465787941;0.16073833242209842;0.7390540709738391;0.9178414845318971;2843.438465787941;0.16073833242209842;0.7390540709738391;0.9178414845318971;0.06368543818727151;0.2423300970873766;0.030142067876875334;44.68571996675958;0.04543302540415808;58.46069900420721;0.0389800000000018;52.81678309195319
015_sess2_task4.wav;015;2;4;117.52431085048771;1.3459685028840374;-0.7217199099693743;0.8426481008049448;641.2868524128072;0.5098712889418293;2.3204129036408725;1.659996870940891;641.2868524128072;0.5098712889418293;2.3204129036408725;1.659996870940891;1667.6511000848789;0.3159952734247544;0.1425794036733703;0.8706066695759118;1667.6511000848789;0.3159952734247544;0.1425794036733703;0.8706066695759118;2813.9701054678876;0.183768531075062;0.3771552294051177;0.8551383479696367;2813.9701054678876;0.183768531075062;0.3771552294051177;0.8551383479696367;0.059430379746835446;0.2299999999999982;0.03806451612903236;60.874320204690875;0.04244680851063868;55.65444704866746;0.039426751592357215;55.86720334457626
016_sess1_task1.wav;016;1;1;109.16727203087513;0.859863762893453;0.7257310519073878;0.10194674050486278;615.3076033496206;0.6503234882034857;1.4960765227040786;1.5407371607670295;615.3076033496206;0.6503234882034857;1.4960765227040786;1.5407371607670295;1680.3035436521284;0.2848109242730389;0.5731934412107731;0.9224636375854274;1680.3035436521284;0.2848109242730389;0.5731934412107731;0.9224636375854274;2708.7013316523858;0.17356743995993681;0.9527672564462395;1.0770267281809078;2708.7013316523858;0.17356743995993681;0.9527672564462395;1.0770267281809078;0.0688678678678674;0.19793333333333393;0.03425899280575789;47.41503767270538;0.043178534571727;54.52244841665186;0.039441273655757544;51.161537904692096
016_sess1_task2.wav;016;1;2;109.12574479537645;0.7820496962174096;7.024136877842839;0.6994823795566264;588.9633972823809;0.712694000700246;1.0888472472850816;1.466554553185808;588.9633972823809;0.712694000700246;1.0888472472850816;1.466554553185808;1730.3851497668034;0.29133367626579504;0.5104707066710579;0.7998596928427796;1730.3851497668034;0.29133367626579504;0.5104707066710579;0.7998596928427796;2752.4538516056723;0.17973158460253902;0.749628540743652;1.0489161336067538;2752.4538516056723;0.17973158460253902;0.749628540743652;1.0489161336067538;0.08421383647798758;0.22795833333333682;0.04247892074199116;48.339794670465174;0.05171052631579211;55.30153378440947;0.04674825174825625;51.08082401891404
016_sess1_task3.wav;016;1;3;109.10415433436373;0.7660971875108391;9.434620009492065;1.0183617247782084;644.3416994386018;0.6850021562475179;0.42832512883834717;1.2681786317788686;644.3416994386018;0.6850021562475179;0.42832512883834717;1.2681786317788686;1724.3508917783874;0.29633295640785523;0.3612299256181295;0.8795615832651281;1724.3508917783874;0.29633295640785523;0.3612299256181295;0.8795615832651281;2752.7512265926207;0.18609137793036196;0.20014315523203718;0.9280684909075091;2752.7512265926207;0.18609137793036196;0.20014315523203718;0.9280684909075091;0.0701915991156971;0.22420833333333312;0.03779151943462962;50.30460657053203;0.042471482889734444;54.04030574369399;0.03882743362831934;50.83735980135724
016_sess1_task4.wav;016;1;4;98.24612272438074;0.6202262567294095;-0.9109058956860419;-0.8235506841503983;657.3496990768624;0.6672762100534193;0.6901285658559537;1.1655080895482937;657.3496990768624;0.6672762100534193;0.6901285658559537;1.1655080895482937;1676.990683282836;0.28737584580346814;1.0699341199983072;1.0868180827471605;1676.990683282836;0.28737584580346814;1.0699341199983072;1.0868180827471605;2779.2700132527625;0.20437486820286133;-0.12623018778227824;0.7943230378037958;2779.2700132527625;0.20437486820286133;-0.12623018778227824;0.7943230378037958;0.06840000000000009;0.2150000000000012;0.03237288135593181;50.22904581964173;0.038988764044944196;52.89616219701237;0.03308724832214795;46.988763829275115
016_sess2_task1.wav;016;2;1;114.1902997298647;0.8678698429436332;9.930885498512561;1.2896186345476432;607.8243811846626;0.6758716462583898;1.3380273966001859;1.52589768208964;607.8243811846626;0.6758716462583898;1.3380273966001859;1.52589768208964;1677.8789424477284;0.301584809761493;0.38092293709880565;0.88493927474179;1677.8789424477284;0.301584809761493;0.38092293709880565;0.88493927474179;2674.730546928027;0.188872703079453;0.723585029200529;1.1833742912812588;2674.730546928027;0.188872703079453;0.723585029200529;1.1833742912812588;0.06843222383019697;0.22357142857142703;0.03566125290023532;48.27513646747943;0.040339123242351664;54.39777006087767;0.03849903474903864;51.57734199039938
